id,content_title,content_description,Link Comma,start_grade,end_grade,subject,Cost,Device,Language of Instruction,Website Langauage
512,Physics Wallah,Video lectures in Hinglish covering concepts to help you prep for JEE and NEET,"https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ/videos,https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ/videos",14,14,"JEE, NEET",Free,3,Hindi,EN
513,MocomiKids,"MocomiKids is a library of animated edutainment videos featuring short stories, fun facts, and questions to spark your child's curiosity. Mocomi's content is available in both Hindi and English.","https://www.youtube.com/user/mocomikids/,https://www.youtube.com/user/mocomikids/",0,8,General Knowledge,Free,3,"English, Hindi",EN
514,PuStack,"Collection of video lectures in Hinglish on topics in Math, Science, and Social Sciences for grades 9 and 10.","https://www.youtube.com/channel/UC5rPwqBfL4zfIAXuXxHLSlg/featured,https://www.youtube.com/channel/UC5rPwqBfL4zfIAXuXxHLSlg/featured",9,10,"Science, Social Science",Free,3,Hindi,EN
515,Avanti Sankalp,"Avanti Sankalp delivers NCERT-aligned Math and Science content for grades 9 to 12 via videos, quizzes, and textbook solutions in Hindi.","https://www.youtube.com/channel/UCcWbm9eHkD-Mj_HdCK1_4Ww/about,https://play.google.com/store/apps/details?id=in.avanti.haryana.gurukul",9,12,"Math, Science",Free,3,Hindi,EN
516,Let's Make Education Simple,Video blogs that explain various concepts in Science and Math using real life examples in Tamil,"https://www.youtube.com/channel/UCNwcxhfBVDgwx9Lv3CBpu6A,https://www.youtube.com/channel/UCNwcxhfBVDgwx9Lv3CBpu6A",5,12,"Math, Science",Free,3,Tamil,EN
517,MagicPathshala,Animated videos and games on key concepts in English grammar and Math for young children,"https://www.youtube.com/user/MagicPathshala/,https://www.youtube.com/user/MagicPathshala/",0,5,"English, Math",Free,3,"Hindi, English",EN
518,Pebbles TN Samacheer & Competitive Exams,"Pebbles is a library of video lectures for Math and Science, covering content for grades 3 to 12.","https://www.youtube.com/user/PebblesTNSamacheer/,https://www.youtube.com/user/PebblesTNSamacheer/",3,12,"Math, Science",Free,3,Tamil,EN
519,Edewcate,Fun animated videos featuring nursery rhymes and short stories for young children aged 2-8 years.,"https://www.youtube.com/user/eDewcate/about,https://www.youtube.com/user/eDewcate/about",15,15,General Knowledge,Free,3,"English, Hindi, Telugu",EN
520,Pradeep Kshetrapal,A library of detailed classroom lecture videos covering topics in Physics for grades 11 and 12.,"https://www.youtube.com/user/PradeepKshetrapal/videos,https://www.youtube.com/user/PradeepKshetrapal/videos",11,12,Science,Free,3,Hindi,EN
521,Success CDS Education,"Pre-recorded video lessons going over topics in English, Hindi, Science, and Math for grades 5 to 12, as well as trivia and general knowledge.","https://www.youtube.com/channel/UCXM3b61alvDTJ7BPQ17TfAw,https://www.youtube.com/channel/UCXM3b61alvDTJ7BPQ17TfAw",5,12,"English, Hindi, Math, Science",Free,3,Hindi,EN
522,BooksRapid,"A library of video lectures in Odia, covering content for grades 1 to 10 in Math, Science, and English.","https://www.youtube.com/channel/UC4GiTDaA64QaIskLd0jfjwg/featured,https://www.youtube.com/channel/UC4GiTDaA64QaIskLd0jfjwg/featured",1,10,"English, Math, Science",Free,3,Odia,EN
523,Odia Digital Learning,Video lectures in Odia covering concepts in Math for grades 3 to 6,"https://www.youtube.com/playlist?list=PLttru3UvMWDtIGn5UfHd3UJIJv2qtzEBn,https://www.youtube.com/playlist?list=PLttru3UvMWDtIGn5UfHd3UJIJv2qtzEBn",3,6,"Math, English",Free,3,Odia,EN
524,Dear Sir,"A collection of engaging, instructor-led videos featuring Math, Science, spoken English, and general knowledge modules","https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos,https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos",10,12,"Math, Science, English",Free,3,Hindi,EN
525,Dear Sir,"A collection of engaging, instructor-led videos featuring Math, Science, spoken English, and general knowledge modules","https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos,https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos",15,15,"Math, Science, English",Free,3,Hindi,EN
526,Digital Sakshar,"A collection of 2D animated video lectures for grades 1 to 10, covering Math, English, Science, and Social Science concepts.","https://www.youtube.com/user/Sancharlearnings/playlists,https://play.google.com/store/apps/details?id=com.sancharinfotech.digitalsakshar",1,10,"English, Math, Science, Social Science",Free,3,"Marathi, Hindi",EN
527,Tic Tac Learn,"TicTac Learn is an open-source repository of high-quality, curriculum aligned video content in vernacular languages.","TicTac Learn Hindi==https://www.youtube.com/channel/UCkxfbAky2v0yXuKWOKCDy1w/featured;TicTac Learn Odia==https://www.youtube.com/channel/UCl8_6ZBA370fTg2w6gGS6Mw/featured;TicTac Learn Telugu==https://www.youtube.com/channel/UC9qLJLs51f97UVwzU19glnA;TicTac Learn English==https://www.youtube.com/channel/UCgc6BPchRUum7ASV2QPGw2g;TicTac Learn marathi==https://www.youtube.com/channel/UCHB-eNXs4hJB__1G1lOR38Q/featured,TicTac Learn Hindi==https://www.youtube.com/channel/UCkxfbAky2v0yXuKWOKCDy1w/featured;TicTac Learn Odia==https://www.youtube.com/channel/UCl8_6ZBA370fTg2w6gGS6Mw/featured;TicTac Learn Telugu==https://www.youtube.com/channel/UC9qLJLs51f97UVwzU19glnA;TicTac Learn English==https://www.youtube.com/channel/UCgc6BPchRUum7ASV2QPGw2g;TicTac Learn marathi==https://www.youtube.com/channel/UCHB-eNXs4hJB__1G1lOR38Q/featured",3,10,Math,Free,3,Telugu,EN
528,Math Songs by NUMBEROCK,A library of animated music videos featuring educational songs to help kids learn math concepts for grades K to 6.,"https://www.youtube.com/channel/UCt9SZgFExNwWTH5T_JnyF-A/videos,https://www.youtube.com/channel/UCt9SZgFExNwWTH5T_JnyF-A/videos",0,5,Math,Free,3,English,EN
529,Pebbles Language & Competitive Exams English,"User-friendly videos featuring everyday scenarios to teach you to speak English using your mother toungue (Marathi, Gujarati, Tamil, and Hindi.)","https://www.youtube.com/user/PebblesLearning/,https://www.youtube.com/user/PebblesLearning/",15,15,English,Free,3,"Tamil, Gujarati, Marathi, Hindi",EN
530,Peekaboo Kidz,"Peekaboo Kidz is a collection of fun, animated edutainment videos covering a host of everyday general knowledge topics.","https://www.youtube.com/user/Peekaboo/,https://www.youtube.com/user/Peekaboo/",0,5,"Science, Social Science",Free,3,English,EN
531,Etoos Education,"A collection of instructor-led video lectures across Physics, Chemistry, and Biology to assist preparation for competitive exams such as IITJEE and NEET.","https://www.youtube.com/user/etoosindia7/featured,https://play.google.com/store/apps/details?id=com.etoos.india.app&hl=en_IN",14,14,"IITJEE, NEET",Free,3,Hindi,EN
532,Etoos Education,"A collection of instructor-led video lectures across Physics, Chemistry, and Biology for grades 11 and 12.","https://www.youtube.com/user/etoosindia7/featured,https://play.google.com/store/apps/details?id=com.etoos.india.app&hl=en_IN",11,12,Science,Free,3,Hindi,EN
533,DronStudy,DronStudy hosts instructor-led videos that use animated visuals and demonstrations to cover topics in Science and Math.,"https://www.youtube.com/channel/UCPiuJvuyMVFSwcIdBCTpTyQ/videos,https://play.google.com/store/apps/details?id=gnhub.dronstudy.web&hl=en_IN",8,12,"Science, Math",Free,3,Hindi,EN
534,Helios Educore,"Helios Educore hosts a library of instructor-led video lectures across Physics, Chemistry, and Biology to assist preparation for competitive exams such as IITJEE and NEET.","https://www.youtube.com/channel/UCF1OOqrsruWs3gbGf22gM7g/featured,https://www.youtube.com/channel/UCF1OOqrsruWs3gbGf22gM7g/featured",14,14,"IITJEE, NEET",Free,3,Hindi,EN
535,Toon Mastieyf,"A collection of fun animated videos in Hindi that use nursery rhymes and short stories to cover topics in Math, EVS, and language for grades K-5.","https://www.youtube.com/user/toonmastieyf/featured,https://www.youtube.com/user/toonmastieyf/featured",0,5,"Science, Math, Hindi",Free,3,"Hindi, English",EN
536,ATP Star,Whiteboard-style lectures covering various topics in Science to help students prepare for JEE/NEET exams.,"https://www.youtube.com/channel/UCwdvPgmU5qHPB2NsDLAmS1g/featured,https://play.google.com/store/apps/details?id=com.app.atpstar&hl=en_IN",14,14,"IITJEE, NEET",Free,3,Hindi,EN
537,mLearningIndia,A collection of instructor-led video lectures across Physics and Chemistry to assist preparation for competitive exams such as IITJEE and NEET.,"https://www.youtube.com/user/mlearningindia,https://play.google.com/store/apps/details?id=com.it.mlearning",14,14,"IITJEE, NEET",Free,3,Hindi,EN
538,iKen Edu,"A library of animated videos breaking down topics in Science, Math, Social Science, and English for grades K through 12.","https://www.youtube.com/user/IkenEdu/videos,https://www.youtube.com/user/IkenEdu/videos",0,12,"English, Math, Science, Social Science",Free,3,"English, Hindi",EN
539,JOJO TV,JOJO TV is an edutainment channel featuring animated videos with short stories and nursery rhymes in Hindi for young children aged 1 to 8.,"JOJO TV - Hindi==https://www.youtube.com/channel/UCAXe-dTMWRcqDdt5pYLwHCA/featured;JOJO TV - Tamil==https://www.youtube.com/channel/UCL_ixOF1sQb7JZZArdp9u7A;JOJO TV - Telugu==https://www.youtube.com/channel/UCCBtquro7qtolLLxYXwp8wg;JOJO TV - Bengali==https://www.youtube.com/channel/UCEPA7Lp6OlQCUW5gcj_yfSw,JOJO TV - Hindi==https://www.youtube.com/channel/UCAXe-dTMWRcqDdt5pYLwHCA/featured;JOJO TV - Tamil==https://www.youtube.com/channel/UCL_ixOF1sQb7JZZArdp9u7A;JOJO TV - Telugu==https://www.youtube.com/channel/UCCBtquro7qtolLLxYXwp8wg;JOJO TV - Bengali==https://www.youtube.com/channel/UCEPA7Lp6OlQCUW5gcj_yfSw",15,15,"Reading, Listening, Speaking",Free,3,"Hindi, Tamil, Telugu, Bengali",EN
540,Aakash Digital,Aakash Digital features instructor-led videos on various topics in Math and Science for grades 8 to 12.,"https://www.youtube.com/user/AakashiTutor/featured,https://play.google.com/store/apps/details?id=com.tribyte.iTutor2&hl=en_IN",8,12,"Math, Science",Free,3,Hindi,EN
541,Aakash Digital,"Aakash Digital features instructor-led videos on various topics in Math and Science to help students prep for the IIT JEE and NEET competitive exams, NTSE, and other Olympiads.","https://www.youtube.com/user/AakashiTutor/featured,https://play.google.com/store/apps/details?id=com.tribyte.iTutor2&hl=en_IN",14,14,"IITJEE, NEET",Free,3,Hindi,EN
542,Infobells,Infobells is an edutainment channel featuring animated videos with short stories and nursery rhymes in Hindi for young children aged 1 to 8.,"Infobells - Hindi==https://www.youtube.com/user/infobellshindirhymes/featured;Infobells - Tamil==https://www.youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg;Infobells - Telugu==https://www.youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q;Infobells - Bengali==https://www.youtube.com/channel/UCAWuV9ZZ0itI3WR-JHWIUNQ;Infobells - Malayalam==https://www.youtube.com/channel/UCTg9DAHnodNmVqF_P_Ru1sQ;Infobells - Kannada==https://www.youtube.com/channel/UCzKWILdrVl8ZEcDzaH4kl_A,Infobells - Hindi==https://www.youtube.com/user/infobellshindirhymes/featured;Infobells - Tamil==https://www.youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg;Infobells - Telugu==https://www.youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q;Infobells - Bengali==https://www.youtube.com/channel/UCAWuV9ZZ0itI3WR-JHWIUNQ;Infobells - Malayalam==https://www.youtube.com/channel/UCTg9DAHnodNmVqF_P_Ru1sQ;Infobells - Kannada==https://www.youtube.com/channel/UCzKWILdrVl8ZEcDzaH4kl_A",15,15,"Reading, Listening, Speaking",Free,3,"Hindi, Tamil, Telugu, Bengali, Malayalam, Kannada",EN
543,काहूत,"एक आसानी से इस्तेमाल किए जाने वाला मंच जो आपको कुछ ही मिनटों में - किसी भी विषय पर और किसी भी भाषा, में अपने छात्रों के लिए सिखाने वाले खेल या प्रश्नोत्तरी बनाने की अनुमति देता है।
आप खेल या परीक्षाएं भी मंच पर डाल सकते हैं या उन्हें घर पर छात्रों के लिए दे सकते हैं। 
उत्तरों का आटोमेटिक स्कोरिंग भी किया जा सकता है",https://kahoot,0,10,गणित,मुफ्त,3,हिन्दी,HI
544,चुचु टीवी,"चुचु टीवी यूट्यूब चैनलों का एक परिवार है जो बच्चों को उत्साहित नर्सरी राइम और शैक्षिक गीतों की श्रृंखला के माध्यम से आकर्षित करता है। चुचु टीवी के पात्र बच्चों को उनकी पसंदीदा नर्सरी कविताएँ, रंग, आकार, संख्या हिंदी में सिखाएंगे","https://www.youtube.com/channel/UCbH4Ii9Htdqc-QgxoV3M0Qw/videos,https://www.youtube.com/channel/UCbH4Ii9Htdqc-QgxoV3M0Qw/videos",0,1,"अंग्रेजी, गणित, हिंदी",मुफ्त,3,हिन्दी,HI
545,जुगनू किड्स - नर्सरी राइम्स एण्ड किड्स सोंग्स,जुगनू किड्स यूट्यूब चैनल आपके छोटे बच्चों के लिए ऐसे पात्रों के साथ आनंद लेने के लिए हैं जो उन्हें सीखते समय गाना और नृत्य करना सिखाते हैं।,"https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos,https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos",0,1,"अंग्रेजी, गणित, हिंदी",मुफ्त,3,"अंग्रेजी, हिंदी",HI
546,आईआईटी पाल फ़िज़िक्स,आईआईटी पाल लैक्चर प्रतिष्ठित आईआईटी प्रोफेसरों / विषय विशेषज्ञों द्वारा विषय में अवधारणाओं को स्पष्ट करने के लिए हैं,"आईआईटी पाल फ़िज़िक्स==https://www.youtube.com/channel/UCwNr8peMxn8-Nc2V_RZsRvg/videos;आईआईटी पाल कैमिस्ट्रि==https://www.youtube.com/channel/UC3Zv0XxBjYlWMjbMv8ODE8Q/videos;आईआईटी पाल मैथ==https://www.youtube.com/channel/UCfz4W0rG8HoyyrrK6qNc1rA/videos;आईआईटी पाल बाईओलोगी==https://www.youtube.com/channel/UCqiFTyCxFFMAN_lhAzIkdpA,आईआईटी पाल फ़िज़िक्स==https://www.youtube.com/channel/UCwNr8peMxn8-Nc2V_RZsRvg/videos;आईआईटी पाल कैमिस्ट्रि==https://www.youtube.com/channel/UC3Zv0XxBjYlWMjbMv8ODE8Q/videos;आईआईटी पाल मैथ==https://www.youtube.com/channel/UCfz4W0rG8HoyyrrK6qNc1rA/videos;आईआईटी पाल बाईओलोगी==https://www.youtube.com/channel/UCqiFTyCxFFMAN_lhAzIkdpA",14,14,भौतिक विज्ञान,मुफ्त,3,अंग्रेज़ी,HI
547,एकसाम फियर एजुकेशन,6000+ वीडियो पाठों से चयन करें जो मुख्य अवधारणाओं को समझाते हैं और बताते हैं कि समस्याओं को हल करने और सवालों के जवाब कैसे दें। व्याख्यान में 7 मिनट के वीडियो से लेकर 2 घंटे तक की अवधि होती है।,"एकसाम फियर एजुकेशन - इंग्लिश==https://www.youtube.com/user/ExamFearVideos/;एकसाम फियर एजुकेशन - हिन्दी==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg,https://play.google.com/store/apps/details?id=com.examfear.app",6,12,"अंग्रेजी, गणित, विज्ञान",मुफ्त,3,अंग्रेज़ी,HI
548,एकसाम फियर एजुकेशन,वीडियो पाठ जो मुख्य अवधारणाओं को समझाते हैं और बताते हैं कि समस्याओं को हल कैसे करें और सवालों के जवाब कैसे दें। व्याख्यान में 7 मिनट के वीडियो से लेकर 2 घंटे तक की अवधि होती है।,"एकसाम फियर एजुकेशन - इंग्लिश==https://www.youtube.com/user/ExamFearVideos/search?query=neet;एकसाम फियर एजुकेशन - हिन्दी==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg/search?query=neet,एकसाम फियर एजुकेशन - इंग्लिश==https://www.youtube.com/user/ExamFearVideos/search?query=neet;एकसाम फियर एजुकेशन - हिन्दी==https://www.youtube.com/channel/UCWtKeCH3qnbq6GZpDiqgsKg/search?query=neet",14,14,एनईईटी,मुफ्त,3,अंग्रेज़ी,HI
549,खान अकादमी इंडिया - गुजराती,11 वीं और 12 वीं कक्षा के लिए विज्ञान और गणित में पाठ्यक्रम की एक श्रृंखला को शामिल करते हुए पाठ्यक्रम-संरेखित गुजराती वीडियो पाठों की एक व्यापक मुफ्त लाइब्रेरी।,"https://www.youtube.com/channel/UCaglh99xdT0llj9Fn2RIsGQ/videos,https://www.youtube.com/channel/UCaglh99xdT0llj9Fn2RIsGQ/videos",11,12,"गणित, विज्ञान",मुफ्त,3,गुजराती,HI
550,बोधागुरु,2700 से अधिक मज़ेदार एनिमेटेड वीडियो का संग्रह जो विषयों की बड़ी श्रृंखला को ब्यान करने के लिए छोटी कहानियों का उपयोग करते हैं।,"https://www.youtube.com/user/BodhaguruLearning/,https://play.google.com/store/apps/details?id=com.bodhaguru.studyncertcbsevideoshindi",0,10,"गणित, विज्ञान",मुफ्त,3,"हिंदी, अंग्रेजी",HI
551,ईविद्यार्थी,आईआईटी जेईई मेनस और एडवांस्ड के लिए अवधारणाओं पर वीडियो व्याख्यान का एक संग्रह।,"https://www.youtube.com/channel/UCKzqFY6UPIujOUcuxV977EA/videos?sub_confirmation=1,https://www.youtube.com/channel/UCKzqFY6UPIujOUcuxV977EA/videos?sub_confirmation=1",14,14,आईआईटी जेईई,मुफ्त,3,"हिंदी, अंग्रेजी",HI
552,शिक्षा हाउस,"विज्ञान, सामाजिक अध्ययन और गणित में विषयों के साथ कक्षा 9 से 12 के लिए 3डी एनिमेटेड वीडियो का एक संग्रह।","https://www.youtube.com/channel/UCe5YkOlh2sy_JdRUDfge-lQ,https://www.youtube.com/channel/UCe5YkOlh2sy_JdRUDfge-lQ",9,12,"गणित, विज्ञान, सामाजिक विज्ञान",मुफ्त,3,अंग्रेज़ी,HI
553,डोंट मेमोराइज़,"2 डी एनिमेटेड वीडियो व्याख्यान की एक लाइब्रेरी जो प्रमुख अवधारणाओं को समझाती है और अंग्रेजी में समस्याओं को हल करती है, ग्रेड 9 से 12 के लिए गणित और विज्ञान के विषयों पर।","डोंट मेमोराइज़ - इंग्लिश==https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/featured;डोंट मेमोराइज़ - हिन्दी==https://www.youtube.com/channel/UCSZVTk6wAtmorpBjP_uEjpw,डोंट मेमोराइज़ - इंग्लिश==https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/featured;डोंट मेमोराइज़ - हिन्दी==https://www.youtube.com/channel/UCSZVTk6wAtmorpBjP_uEjpw",9,12,"गणित, विज्ञान",मुफ्त,3,अंग्रेज़ी,HI
554,फिजिक्क्स वाला,भौतिकी और रसायन विज्ञान में हिंग्लिश में वीडियो लेक्चर का एक संग्रह,"https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ,https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ",10,12,विज्ञान,मुफ्त,3,हिन्दी,HI
555,फिजिक्क्स वाला,जेईई और एनईईटी के लिए तयारी करने में आपकी मदद करने के लिए हिंग्लिश में वीडियो लेक्चर,"https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ/videos,https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ/videos",14,14,आईआईटी जेईई / एनईईटी,मुफ्त,3,हिन्दी,HI
556,मोकोमीकिड्स,"मोकोमीकिड्स छोटी कहानियों, मजेदार तथ्यों, और आपके बच्चे की जिज्ञासा को जगाने के लिए एनिमेटेड वीडियो की एक लाइब्रेरी है। मोकोमी की सामग्री हिंदी और अंग्रेजी दोनों में उपलब्ध है।","https://www.youtube.com/user/mocomikids/,https://www.youtube.com/user/mocomikids/",0,8,सामान्य ज्ञान,मुफ्त,3,"अंग्रेजी, हिंदी",HI
557,पूस्टैक,"ग्रेड 9 और 10 के लिए गणित, विज्ञान और सामाजिक विज्ञान के विषयों पर हिंग्लिश में वीडियो व्याख्यान का संग्रह।","https://www.youtube.com/channel/UC5rPwqBfL4zfIAXuXxHLSlg/featured,https://www.youtube.com/channel/UC5rPwqBfL4zfIAXuXxHLSlg/featured",9,10,"विज्ञान, सामाजिक विज्ञान",मुफ्त,3,हिन्दी,HI
558,अवंति संकल्प,"अवंति संकल्प हिंदी में वीडियो, क्विज़ और पाठ्यपुस्तक के समाधान के माध्यम से ग्रेड 9 से 12 के लिए एनसीईआरटी की गणित और विज्ञान की सामग्री वितरित करता है।","https://www.youtube.com/channel/UCcWbm9eHkD-Mj_HdCK1_4Ww/about,https://play.google.com/store/apps/details?id=in.avanti.haryana.gurukul",9,12,"गणित, विज्ञान",मुफ्त,3,हिन्दी,HI
559,लेट्स मेक एजुकेशन सिम्पल,वीडियो ब्लॉग जो तमिल में वास्तविक जीवन उदाहरणों का उपयोग करके विज्ञान और गणित में विभिन्न अवधारणाओं की व्याख्या करते हैं,"https://www.youtube.com/channel/UCNwcxhfBVDgwx9Lv3CBpu6A,https://www.youtube.com/channel/UCNwcxhfBVDgwx9Lv3CBpu6A",5,12,"गणित, विज्ञान",मुफ्त,3,तामिल,HI
560,मैजिकपाठशाला,छोटे बच्चों के लिए अंग्रेजी व्याकरण और गणित में प्रमुख अवधारणाओं पर एनिमेटेड वीडियो और गेम,"https://www.youtube.com/user/MagicPathshala/,https://www.youtube.com/user/MagicPathshala/",0,5,"अंग्रेजी, गणित",मुफ्त,3,"हिंदी, अंग्रेजी",HI
561,पेब्ब्लस टीएन समाचार एंड कोंपिटीटिव इग्ज़ामस,"पेब्ब्लस 3 से 12 कक्षा के लिए, गणित और विज्ञान के लिए वीडियो व्याख्यान का एक पुस्तकालय है।","https://www.youtube.com/user/PebblesTNSamacheer/,https://www.youtube.com/user/PebblesTNSamacheer/",3,12,"गणित, विज्ञान",मुफ्त,3,तामिल,HI
562,एडेवकते,2-8 वर्ष की आयु के छोटे बच्चों के लिए नर्सरी कविता और लघु कथाओं की विशेषता वाले मजेदार एनिमेटेड वीडियो।,"https://www.youtube.com/user/eDewcate/about,https://www.youtube.com/user/eDewcate/about",15,15,सामान्य ज्ञान,मुफ्त,3,"अंग्रेजी, हिंदी, तेलुगु",HI
563,प्रदीप क्षेत्रपल,11वीं और 12वीं कक्षा के लिए भौतिकी में विस्तृत कक्षा के व्याख्यान वीडियो की एक लाइब्रेरी।,"https://www.youtube.com/user/PradeepKshetrapal/videos,https://www.youtube.com/user/PradeepKshetrapal/videos",11,12,विज्ञान,मुफ्त,3,हिन्दी,HI
564,सक्सेस सीडीएस एजुकेशन,"5वीं से 12 वीं कक्षा के लिए अंग्रेजी, हिंदी, विज्ञान और गणित विषयों के साथ-साथ सामान्य ज्ञान के विषय में पूर्व-रिकॉर्ड किए गए वीडियो पाठ।","https://www.youtube.com/channel/UCXM3b61alvDTJ7BPQ17TfAw,https://www.youtube.com/channel/UCXM3b61alvDTJ7BPQ17TfAw",5,12,"अंग्रेजी, हिंदी, गणित, विज्ञान",मुफ्त,3,हिन्दी,HI
